,accuracy,auc,f1,precision,recall,type
LogisticRegression,0.6456,0.7423,0.5882,0.6897,0.5128,ML
CNN_BiLSTM,0.6329,0.7397,0.6234,0.6316,0.6154,DL
Ensemble_Top3,0.6709,0.7365,0.6061,0.7407,0.5128,ML
DL_Ensemble,0.6582,0.7301,0.6494,0.6579,0.6410,DL
LightGBM,0.6582,0.7192,0.5970,0.7143,0.5128,ML
XGBoost,0.6582,0.7115,0.5846,0.7308,0.4872,ML
GradientBoosting,0.6076,0.7090,0.5507,0.6333,0.4872,ML
ExtraTrees,0.6329,0.7077,0.5538,0.6923,0.4615,ML
CNN_1D,0.6456,0.7077,0.6500,0.6341,0.6667,DL
RandomForest,0.5949,0.6923,0.5152,0.6296,0.4359,ML
PhysNet_MLP,0.6456,0.6897,0.6216,0.6571,0.5897,DL
BiLSTM_Attention,0.6456,0.6763,0.6500,0.6341,0.6667,DL
Transformer,0.5823,0.6577,0.5352,0.5938,0.4872,DL
SVM_RBF,0.5949,0.6119,0.5556,0.6061,0.5128,ML
